"municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"Abrera","Lowcost",1.369,1.369,1.369,1.539,1.539,1.539
"Adanero","No_Lowcost",1.379,1.369,1.374,1.579,1.569,1.574
"Aguaviva","Lowcost",1.379,1.379,1.379,1.589,1.589,1.589
"Aguilar de la Frontera","No_Lowcost",1.379,1.379,1.379,1.509,1.509,1.509
"Águilas","No_Lowcost",1.369,1.369,1.369,1.549,1.549,1.549
"Agüimes","Lowcost",1.029,1.029,1.029,1.149,1.149,1.149
"Albacete","Lowcost",1.409,1.409,1.409,1.559,1.559,1.559
"Albalat dels Sorells","No_Lowcost",1.359,1.359,1.359,1.549,1.549,1.549
"Alberic","No_Lowcost",1.385,1.359,1.372,1.584,1.569,1.5765
"Alberite de San Juan","No_Lowcost",1.339,1.339,1.339,1.549,1.549,1.549
"Albuixech","No_Lowcost",1.359,1.359,1.359,1.549,1.549,1.549
"Alcalá de Guadaíra","No_Lowcost",1.399,1.395,1.397,1.589,1.584,1.5865
"Alcalá de Henares","No_Lowcost",1.459,1.419,1.439,1.614,1.609,1.6115
"Alcalá la Real","Lowcost",1.269,1.269,1.269,1.409,1.409,1.409
"Alcaraz","No_Lowcost",1.369,1.369,1.369,1.519,1.519,1.519
"Alcázar de San Juan","No_Lowcost",1.385,1.385,1.385,1.559,1.559,1.559
"Alcobendas","No_Lowcost",1.455,1.429,1.442,1.644,1.609,1.6265
"Alcorcón","Lowcost",1.425,1.425,1.425,1.619,1.619,1.619
"Alcorcón","No_Lowcost",1.419,1.419,1.419,1.609,1.609,1.609
"Alcoy/Alcoi","No_Lowcost",1.379,1.379,1.379,1.559,1.559,1.559
"Alcúdia","No_Lowcost",1.435,1.429,1.432,1.664,1.639,1.6515
"Aldaia","No_Lowcost",1.369,1.369,1.369,1.569,1.569,1.569
"Aldea del Fresno","No_Lowcost",1.419,1.419,1.419,1.604,1.604,1.604
"Algaba (La)","No_Lowcost",1.399,1.399,1.399,1.579,1.579,1.579
"Algeciras","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Alhama de Granada","No_Lowcost",1.369,1.369,1.369,1.559,1.559,1.559
"Alicante/Alacant","Lowcost",1.385,1.385,1.385,1.579,1.579,1.579
"Alicante/Alacant","No_Lowcost",1.395,1.385,1.3875,1.634,1.574,1.6015
"Almadrones","No_Lowcost",1.385,1.385,1.385,1.569,1.569,1.569
"Almansa","No_Lowcost",1.399,1.389,1.394,1.569,1.554,1.5615
"Almería","No_Lowcost",1.385,1.379,1.3835,1.614,1.554,1.57025
"Almoradí","Lowcost",1.289,1.289,1.289,1.489,1.489,1.489
"Almoradí","No_Lowcost",1.395,1.395,1.395,1.584,1.584,1.584
"Almudévar","No_Lowcost",1.369,1.369,1.369,1.539,1.539,1.539
"Alpedrete","No_Lowcost",1.419,1.419,1.419,1.609,1.609,1.609
"Altafulla","No_Lowcost",1.419,1.419,1.419,1.614,1.614,1.614
"Amposta","Lowcost",1.26,1.26,1.26,1.39,1.39,1.39
"Andoain","Lowcost",1.399,1.399,1.399,1.489,1.489,1.489
"Andújar","Lowcost",1.429,1.429,1.429,1.589,1.589,1.589
"Andújar","No_Lowcost",1.389,1.389,1.389,1.579,1.569,1.574
"Aranjuez","No_Lowcost",1.355,1.349,1.352,1.549,1.539,1.544
"Arboç (L')","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Archena","Lowcost",1.279,1.279,1.279,1.409,1.409,1.409
"Arcos de Jalón","No_Lowcost",1.379,1.379,1.379,1.559,1.559,1.559
"Arcos de la Frontera","No_Lowcost",1.369,1.369,1.369,1.573,1.573,1.573
"Ariza","No_Lowcost",1.389,1.385,1.387,1.584,1.584,1.584
"Armilla","No_Lowcost",1.379,1.379,1.379,1.569,1.569,1.569
"Arrigorriaga","Lowcost",1.459,1.459,1.459,1.619,1.619,1.619
"Astorga","No_Lowcost",1.449,1.449,1.449,1.569,1.569,1.569
"Atarfe","No_Lowcost",1.379,1.379,1.379,1.564,1.564,1.564
"Ávila","No_Lowcost",1.409,1.389,1.399,1.589,1.584,1.5865
"Avilés","Lowcost",1.389,1.365,1.377,1.579,1.559,1.569
"Avilés","No_Lowcost",1.389,1.389,1.389,1.574,1.574,1.574
"Avinyó","Lowcost",1.399,1.399,1.399,1.609,1.609,1.609
"Azuqueca de Henares","No_Lowcost",1.385,1.385,1.385,1.569,1.569,1.569
"Badajoz","No_Lowcost",1.395,1.395,1.395,1.559,1.559,1.559
"Badalona","No_Lowcost",1.429,1.429,1.429,1.629,1.629,1.629
"Bailén","No_Lowcost",1.389,1.379,1.384,1.559,1.554,1.5565
"Barañain","No_Lowcost",1.389,1.389,1.389,1.589,1.589,1.589
"Barbate","No_Lowcost",1.379,1.379,1.379,1.629,1.629,1.629
"Barrios (Los)","No_Lowcost",1.389,1.379,1.384,1.579,1.569,1.574
"Barro","No_Lowcost",1.389,1.389,1.389,1.529,1.529,1.529
"Benicarló","No_Lowcost",1.439,1.439,1.439,1.624,1.624,1.624
"Benidorm","No_Lowcost",1.419,1.419,1.419,1.609,1.609,1.609
"Bera/Vera de Bidasoa","Lowcost",1.309,1.309,1.309,1.399,1.399,1.399
"Berango","No_Lowcost",1.419,1.419,1.419,1.599,1.599,1.599
"Bilbao","No_Lowcost",1.425,1.425,1.425,1.609,1.609,1.609
"Binéfar","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Boceguillas","No_Lowcost",1.429,1.429,1.429,1.599,1.599,1.599
"Boecillo","No_Lowcost",1.379,1.379,1.379,1.629,1.629,1.629
"Boñar","No_Lowcost",1.439,1.439,1.439,1.619,1.619,1.619
"Brea de Aragón","No_Lowcost",1.349,1.349,1.349,1.539,1.539,1.539
"Brunete","No_Lowcost",1.419,1.419,1.419,1.669,1.669,1.669
"Bunyola","No_Lowcost",1.479,1.479,1.479,1.669,1.669,1.669
"Burgos","Lowcost",1.403,1.4,1.4015,1.589,1.584,1.5865
"Burgos","No_Lowcost",1.395,1.395,1.395,1.561,1.561,1.561
"Cabezón de la Sal","No_Lowcost",1.405,1.405,1.405,1.649,1.649,1.649
"Cáceres","No_Lowcost",1.399,1.399,1.399,1.619,1.619,1.619
"Cádiz","No_Lowcost",1.355,1.339,1.347,1.569,1.509,1.539
"Calella","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Calvià","No_Lowcost",1.435,1.435,1.435,1.629,1.609,1.619
"Cambre","No_Lowcost",1.405,1.405,1.405,1.604,1.604,1.604
"Campanet","No_Lowcost",1.435,1.435,1.435,1.604,1.604,1.604
"Campello (el)","Lowcost",1.369,1.369,1.369,1.589,1.589,1.589
"Campo de Criptana","Lowcost",1.379,1.379,1.379,1.529,1.529,1.529
